# sound test for all range noise
ntrack 1
track 1 mode=noise
@ bpm 100
1c 16 1
1c+ 16 1
1d 16 1
1d+ 16 1
1e 16 1
1f 16 1
1f+ 16 1
1g 16 1
1g+ 16 1
1a 16 1
1a+ 16 1
1b 16 1
2c 16 1
2c+ 16 1
2d 16 1
2d+ 16 1
2e 16 1
2f 16 1
2f+ 16 1
2g 16 1
2g+ 16 1
2a 16 1
2a+ 16 1
2b 16 1
3c 16 1
3c+ 16 1
3d 16 1
3d+ 16 1
3e 16 1
3f 16 1
3f+ 16 1
3g 16 1
3g+ 16 1
3a 16 1
3a+ 16 1
3b 16 1
4c 16 1
4c+ 16 1
4d 16 1
4d+ 16 1
4e 16 1
4f 16 1
4f+ 16 1
4g 16 1
4g+ 16 1
4a 16 1
4a+ 16 1
4b 16 1
5c 16 1
5c+ 16 1
5d 16 1
5d+ 16 1
5e 16 1
5f 16 1
5f+ 16 1
5g 16 1
5g+ 16 1
5a 16 1
5a+ 16 1
5b 16 1
6c 16 1
6c+ 16 1
6d 16 1
6d+ 16 1
6e 16 1
6f 16 1
6f+ 16 1
6g 16 1
6g+ 16 1
6a 16 1
6a+ 16 1
6b 16 1
7c 16 1
7c+ 16 1
7d 16 1
7d+ 16 1
7e 16 1
7f 16 1
7f+ 16 1
7g 16 1
7g+ 16 1
7a 16 1
7a+ 16 1
7b 16 1
8c 16 1
